2025-07-02 19:16:55,044 INFO    MainThread:47359 [wandb_setup.py:_flush():81] Current SDK version is 0.20.0
2025-07-02 19:16:55,045 INFO    MainThread:47359 [wandb_setup.py:_flush():81] Configure stats pid to 47359
2025-07-02 19:16:55,045 INFO    MainThread:47359 [wandb_setup.py:_flush():81] Loading settings from /Users/nbhsbgnb/.config/wandb/settings
2025-07-02 19:16:55,045 INFO    MainThread:47359 [wandb_setup.py:_flush():81] Loading settings from /Users/nbhsbgnb/PycharmProjects/PythonProject/PowerPINN/wandb/settings
2025-07-02 19:16:55,045 INFO    MainThread:47359 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-07-02 19:16:55,045 INFO    MainThread:47359 [wandb_init.py:setup_run_log_directory():703] Logging user logs to /Users/nbhsbgnb/PycharmProjects/PythonProject/PowerPINN/wandb/run-20250702_191655-i8m0b9i3/logs/debug.log
2025-07-02 19:16:55,045 INFO    MainThread:47359 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to /Users/nbhsbgnb/PycharmProjects/PythonProject/PowerPINN/wandb/run-20250702_191655-i8m0b9i3/logs/debug-internal.log
2025-07-02 19:16:55,045 INFO    MainThread:47359 [wandb_init.py:init():831] calling init triggers
2025-07-02 19:16:55,045 INFO    MainThread:47359 [wandb_init.py:init():836] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-07-02 19:16:55,045 INFO    MainThread:47359 [wandb_init.py:init():872] starting backend
2025-07-02 19:16:55,263 INFO    MainThread:47359 [wandb_init.py:init():875] sending inform_init request
2025-07-02 19:16:55,299 INFO    MainThread:47359 [wandb_init.py:init():883] backend started and connected
2025-07-02 19:16:55,302 INFO    MainThread:47359 [wandb_init.py:init():956] updated telemetry
2025-07-02 19:16:55,318 INFO    MainThread:47359 [wandb_init.py:init():980] communicating run to backend with 90.0 second timeout
2025-07-02 19:16:55,894 INFO    MainThread:47359 [wandb_init.py:init():1032] starting run threads in backend
2025-07-02 19:16:55,935 INFO    MainThread:47359 [wandb_run.py:_console_start():2453] atexit reg
2025-07-02 19:16:55,935 INFO    MainThread:47359 [wandb_run.py:_redirect():2301] redirect: wrap_raw
2025-07-02 19:16:55,935 INFO    MainThread:47359 [wandb_run.py:_redirect():2370] Wrapping output streams.
2025-07-02 19:16:55,935 INFO    MainThread:47359 [wandb_run.py:_redirect():2393] Redirects installed.
2025-07-02 19:16:55,936 INFO    MainThread:47359 [wandb_init.py:init():1078] run started, returning control to user process
2025-07-02 19:16:56,190 INFO    MsgRouterThr:47359 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
