2025-07-16 11:40:07,310 INFO    MainThread:65990 [wandb_setup.py:_flush():81] Current SDK version is 0.20.0
2025-07-16 11:40:07,311 INFO    MainThread:65990 [wandb_setup.py:_flush():81] Configure stats pid to 65990
2025-07-16 11:40:07,311 INFO    MainThread:65990 [wandb_setup.py:_flush():81] Loading settings from /Users/nbhsbgnb/.config/wandb/settings
2025-07-16 11:40:07,311 INFO    MainThread:65990 [wandb_setup.py:_flush():81] Loading settings from /Users/nbhsbgnb/PycharmProjects/PythonProject/PowerPINN/wandb/settings
2025-07-16 11:40:07,311 INFO    MainThread:65990 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-07-16 11:40:07,311 INFO    MainThread:65990 [wandb_init.py:setup_run_log_directory():703] Logging user logs to /Users/nbhsbgnb/PycharmProjects/PythonProject/PowerPINN/wandb/run-20250716_114007-sygwd9va/logs/debug.log
2025-07-16 11:40:07,311 INFO    MainThread:65990 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to /Users/nbhsbgnb/PycharmProjects/PythonProject/PowerPINN/wandb/run-20250716_114007-sygwd9va/logs/debug-internal.log
2025-07-16 11:40:07,311 INFO    MainThread:65990 [wandb_init.py:init():831] calling init triggers
2025-07-16 11:40:07,311 INFO    MainThread:65990 [wandb_init.py:init():836] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-07-16 11:40:07,311 INFO    MainThread:65990 [wandb_init.py:init():872] starting backend
2025-07-16 11:40:07,543 INFO    MainThread:65990 [wandb_init.py:init():875] sending inform_init request
2025-07-16 11:40:07,577 INFO    MainThread:65990 [wandb_init.py:init():883] backend started and connected
2025-07-16 11:40:07,580 INFO    MainThread:65990 [wandb_init.py:init():956] updated telemetry
2025-07-16 11:40:07,597 INFO    MainThread:65990 [wandb_init.py:init():980] communicating run to backend with 90.0 second timeout
2025-07-16 11:40:08,282 INFO    MainThread:65990 [wandb_init.py:init():1032] starting run threads in backend
2025-07-16 11:40:08,313 INFO    MainThread:65990 [wandb_run.py:_console_start():2453] atexit reg
2025-07-16 11:40:08,313 INFO    MainThread:65990 [wandb_run.py:_redirect():2301] redirect: wrap_raw
2025-07-16 11:40:08,313 INFO    MainThread:65990 [wandb_run.py:_redirect():2370] Wrapping output streams.
2025-07-16 11:40:08,313 INFO    MainThread:65990 [wandb_run.py:_redirect():2393] Redirects installed.
2025-07-16 11:40:08,314 INFO    MainThread:65990 [wandb_init.py:init():1078] run started, returning control to user process
2025-07-16 11:40:08,581 INFO    MsgRouterThr:65990 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
